Date,Caroni,Navet,Hollis,Hillsborough
03/01/2018,123.8,41.8,151.2,32.8
02/01/2018,100.6,82.8,128,150
01/01/2018,155.4,168.4,243.2,237.8
12/01/2017,401.2,467.4,536,316.8
11/01/2017,148,207.4,233,323.8
10/01/2017,541.2,533.4,738.5,481.5
09/01/2017,226.6,234.8,278.5,209.4
08/01/2017,278,244.6,385.2,255.6
07/01/2017,214.4,197.6,402.8,201.9
06/01/2017,489,478.4,596.8,198.9
05/01/2017,148.6,127,135.4,57.9
04/01/2017,29.8,11,14.6,23.4
03/01/2017,70.4,74.6,102.3,155.7
02/01/2017,66.4,48.8,86.1,71.4
01/01/2017,71.4,149.3,159.7,139.2
12/01/2016,312.6,250,331.1,324.1
11/01/2016,375.2,270.4,596.8,368.5
10/01/2016,89.2,99.8,205,131.8
09/01/2016,218,287.8,303.8,133.6
08/01/2016,192.6,204.8,208,124.7
07/01/2016,334.7,284.4,279,94
06/01/2016,294.2,313.4,308.4,218.7
05/01/2016,146.6,259.4,280.4,177.5
04/01/2016,61.6,69.8,111.8,61.7
03/01/2016,11.6,24.8,31.2,46.7
02/01/2016,35.4,53.6,63,36.6
01/01/2016,52.8,35.3,102,84.3
12/01/2015,229.6,327.6,329.4,206.2
11/01/2015,262.3,318.4,414.2,349.4
10/01/2015,232.6,210.6,278.8,255
09/01/2015,121.6,183.2,270,186.4
08/01/2015,178.9,174.3,301,100.5
07/01/2015,293.7,242.2,278,110
06/01/2015,261.4,304,283.2,179.3
05/01/2015,31.8,42.4,25.4,13.2
04/01/2015,55.6,42.8,92.2,28.7
03/01/2015,70.6,34.5,96.4,72.4
02/01/2015,86,50.9,78.1,52.4
01/01/2015,141.5,108.6,277.7,250.9
12/01/2014,146.4,99.1,237.1,183
11/01/2014,573.3,319.6,832.1,389.3
10/01/2014,226,149.8,455.8,433.3
09/01/2014,215,136.4,319,263
08/01/2014,206.7,157.8,489.7,202.7
07/01/2014,265,189.5,277.2,297.1
06/01/2014,171.4,146.2,243.8,100.2
05/01/2014,31.2,67.5,60.3,70
04/01/2014,70.4,45.3,167.1,31.57
03/01/2014,32.5,30.3,20.3,32
02/01/2014,104.6,30.1,105.6,78.6
01/01/2014,170,77.6,162.9,107.45
12/01/2013,282.9,207.1,265.5,129.4
11/01/2013,561.6,357,445,415.8
10/01/2013,304.4,228.2,496.2,557.8
09/01/2013,40.5,31.37,136.9,27
08/01/2013,164.9,128.95,210.7,251.25
07/01/2013,185.2,114.54,173.8,55.6
06/01/2013,231.2,211.4,368,228.64
05/01/2013,105.35,108.85,276.2,199.59
04/01/2013,155.5,93.9,320.95,291.37
03/01/2013,23.8,28,32.1,36.34
02/01/2013,21.5,33.7,45.35,66.45
01/01/2013,116.3,99.45,206.75,148.52
12/01/2012,344.7,403.5,360.2,437.58
11/01/2012,226.91,255.7,253.8,245.47
10/01/2012,152.7,204.8,233.9,116.06
09/01/2012,59.1,76,165.7,145.97
08/01/2012,290.6,286.1,459.2,336.16
07/01/2012,249.6,133.1,214.3,105.06
06/01/2012,297.5,349.9,346.92,184.49
05/01/2012,310.3,211.5,343.4,237.51
04/01/2012,97.2,75.4,231.2,168.53
03/01/2012,204,227.2,237.4,219.39
02/01/2012,112.3,90.5,142.1,144
01/01/2012,100.4,148.4,294,166.52
12/01/2011,132.7,266.5,324.6,428.83
11/01/2011,226.1,290.6,355.2,264.82
10/01/2011,270.2,452.9,443.33,290.98
09/01/2011,95.7,67.7,301.55,239.86
08/01/2011,167.3,129.3,190.4,241.55
07/01/2011,285.1,186.8,266.3,264.22
06/01/2011,330.9,361.8,475,286.86
05/01/2011,122,50.8,224.8,149.84
04/01/2011,72.5,92.9,110.04,134.98
03/01/2011,48.7,21.1,116.2,99.92
02/01/2011,226.3,164.2,277.7,139.19
01/01/2011,206.8,194,200,179.22
12/01/2010,313.5,253.6,482.3,313.04
11/01/2010,462.48,256.3,526.4,400.13
10/01/2010,108,167.3,211,361.27
09/01/2010,234.3,118.5,179,384.59
08/01/2010,274.8,324.6,435.6,326.31
07/01/2010,233.6,231.95,377.1,333.01
06/01/2010,337.2,219.6,402.5,216.67
05/01/2010,301.97,257.4,361.3,333.01
04/01/2010,48.7,93.8,116.4,31.31
03/01/2010,4.2,12.6,9.1,2.03
02/01/2010,9.9,3.2,6.9,4.43
01/01/2010,44.16,33.8,53,72.7
12/01/2009,115.1,76.3,121,88.64
11/01/2009,227,215.7,296.4,336.82
10/01/2009,238.6,205.1,325.4,228.2
09/01/2009,189.2,88.8,175.9,163.29
08/01/2009,355,278.8,402.9,264
07/01/2009,334.1,320.6,385.9,293
06/01/2009,129.48,107.3,155.2,148.86
05/01/2009,89,81,80.8,42.64
04/01/2009,62.93,36.58,126.7,105.29
03/01/2009,42.9,43,128.4,100.83
02/01/2009,286.65,274.2,347.3,271.88
01/01/2009,202.4,155.4,307.6,193
12/01/2008,153.84,250.5,253.2,185.48
11/01/2008,228.5,253.3,349,409.69
10/01/2008,153.8,175.6,292.2,221.3
09/01/2008,200.11,92.5,170.6,295
08/01/2008,290.4,241.5,341.5,313
07/01/2008,195,344,378.1,275.98
06/01/2008,288.9,186.1,279,188.19
05/01/2008,20.6,25.6,37.4,10
04/01/2008,67.5,51.8,128.9,47.63
03/01/2008,63.07,36,79.2,28.8
02/01/2008,162.1,112.3,213.3,132.3
01/01/2008,147.9,64.4,115.3,69
12/01/2007,463.56,386.9,602.2,345.64
11/01/2007,158.07,188.9,215.3,363.6
10/01/2007,288.8,283.7,320.3,230
09/01/2007,80.13,109,157.7,121.3
08/01/2007,374.3,246.1,365.1,307.88
07/01/2007,211.2,240,242.75,117.73
06/01/2007,276.7,211.3,363,206.69
05/01/2007,91.6,73,133.2,92.14
04/01/2007,33.76,8,30.8,6.2
03/01/2007,62.42,40,103.1,35.64
02/01/2007,57.3,17.5,60,74.59
01/01/2007,68.35,101.6,91.5,92.34
12/01/2006,259.7,251.4,307.8,184.8
11/01/2006,203.1,147.2,275.3,246.74
10/01/2006,228.6,238.25,282.6,274.39
09/01/2006,154,83.81,200.11,124.04
08/01/2006,334.23,248.1,342.3,201.79
07/01/2006,350.9,304.6,400.1,275.17
06/01/2006,304,296.4,338.7,286.62
05/01/2006,104.4,65.5,109.9,38.56
04/01/2006,24.3,19,54.8,32.45
03/01/2006,136.5,69.5,203.4,66.08
02/01/2006,106.65,104.95,161.5,59.27
01/01/2006,307.3,412.8,328.6,267.04
12/01/2005,243.2,254.9,280.8,341.2
11/01/2005,194.4,169.4,672.9,391
10/01/2005,131,86.7,233.6,203.77
